Level,Date and Time,Source,Event ID,Task Category
Information,31-10-2023 17:33:19,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,31-10-2023 17:33:14,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,31-10-2023 17:33:08,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,31-10-2023 17:33:08,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,31-10-2023 17:33:08,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,31-10-2023 17:33:07,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,31-10-2023 17:33:06,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,31-10-2023 17:33:05,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,31-10-2023 17:32:56,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,31-10-2023 17:32:56,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,31-10-2023 17:32:56,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,31-10-2023 17:32:55,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,31-10-2023 17:32:54,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,31-10-2023 17:32:54,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,31-10-2023 17:32:53,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Warning,31-10-2023 17:32:50,Microsoft-Windows-Time-Service,134,None,"NtpClient was unable to set a manual peer to use as a time source because of DNS resolution error on 'time.windows.com,0x9'. NtpClient will try again in 15 minutes and double the reattempt interval thereafter. The error was: No such host is known. (0x80072AF9)"
Information,31-10-2023 17:32:46,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,31-10-2023 17:32:40,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,31-10-2023 17:32:40,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,31-10-2023 17:32:40,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,31-10-2023 17:32:39,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,31-10-2023 17:32:38,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,31-10-2023 17:32:37,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,31-10-2023 17:32:30,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,31-10-2023 17:32:29,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,31-10-2023 17:32:29,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,31-10-2023 17:32:28,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,31-10-2023 17:32:27,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,31-10-2023 17:32:26,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,31-10-2023 17:32:23,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,31-10-2023 17:32:22,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,31-10-2023 17:32:21,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,31-10-2023 17:32:20,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Warning,31-10-2023 17:32:16,hcmon,0,None,Detected unrecognized USB driver (\Driver\USBPcap).
Information,31-10-2023 17:32:15,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,31-10-2023 17:32:14,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,31-10-2023 17:32:12,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
